in Hz,Spectrum in dBm
1.9104004E+02,-6.32469E+01
1.9134521E+02,-5.98869E+01
1.9165039E+02,-5.94869E+01
1.9195557E+02,-5.92469E+01
1.9226074E+02,-5.78069E+01
1.9256592E+02,-5.69869E+01
1.9287109E+02,-5.64869E+01
1.9317627E+02,-5.61269E+01
1.9348145E+02,-5.85669E+01
1.9378662E+02,-6.16469E+01
1.9409180E+02,-5.93269E+01
1.9439697E+02,-5.62669E+01
1.9470215E+02,-5.50469E+01
1.9500732E+02,-5.49069E+01
1.9531250E+02,-5.62469E+01
1.9561768E+02,-6.11069E+01
1.9592285E+02,-6.70669E+01
1.9622803E+02,-6.42669E+01
1.9653320E+02,-5.91869E+01
1.9683838E+02,-5.84669E+01
1.9714355E+02,-6.18469E+01
1.9744873E+02,-6.35069E+01
1.9775391E+02,-6.60469E+01
1.9805908E+02,-6.83669E+01
1.9836426E+02,-6.51869E+01
1.9866943E+02,-6.55869E+01
1.9897461E+02,-6.22069E+01
1.9927979E+02,-5.84469E+01
1.9958496E+02,-5.67669E+01
1.9989014E+02,-5.59269E+01
2.0019531E+02,-5.53469E+01
2.0050049E+02,-5.59869E+01
2.0080566E+02,-5.89269E+01
2.0111084E+02,-6.19269E+01
2.0141602E+02,-6.21869E+01
2.0172119E+02,-6.08269E+01
2.0202637E+02,-6.02669E+01
2.0233154E+02,-6.19069E+01
2.0263672E+02,-6.57269E+01
2.0294189E+02,-6.49869E+01
2.0324707E+02,-6.29269E+01
2.0355225E+02,-6.17669E+01
2.0385742E+02,-6.07869E+01
2.0416260E+02,-6.10069E+01
2.0446777E+02,-6.21669E+01
2.0477295E+02,-6.00669E+01
2.0507813E+02,-5.84269E+01
2.0538330E+02,-5.93869E+01
2.0568848E+02,-6.53869E+01
2.0599365E+02,-6.58869E+01
2.0629883E+02,-6.01069E+01
2.0660400E+02,-5.90269E+01
2.0690918E+02,-5.87069E+01
2.0721436E+02,-6.01069E+01
2.0751953E+02,-6.33269E+01
2.0782471E+02,-6.63269E+01
2.0812988E+02,-6.43869E+01
2.0843506E+02,-6.37269E+01
2.0874023E+02,-6.31869E+01
2.0904541E+02,-6.14269E+01
2.0935059E+02,-6.06269E+01
2.0965576E+02,-6.14869E+01
2.0996094E+02,-6.33869E+01
2.1026611E+02,-6.22869E+01
2.1057129E+02,-6.16469E+01
2.1087646E+02,-6.08269E+01
2.1118164E+02,-5.89869E+01
2.1148682E+02,-5.88869E+01
2.1179199E+02,-5.93869E+01
2.1209717E+02,-6.03069E+01
2.1240234E+02,-6.13869E+01
2.1270752E+02,-6.24469E+01
2.1301270E+02,-5.99869E+01
2.1331787E+02,-6.04869E+01
2.1362305E+02,-6.34469E+01
